ID	HAUSA	ENGLISH	OMEGAWIKI
1	ɗaya	one	
2	biyu	two
3	ukù	three
4	huɗu	four
5	bìyar	five
6	shidà	six
7	bakwài	seven
8	takwàs	eight
9	tarà	nine
10	gōmà	ten
11	gōmà shā̂ ɗaya	eleven
12	gōmà shā̂ biyu	twelve
13	gōmà shā̂ ukù	thirteen
14	gōmà shā̂ takwàs	eighteen
15	gōmà shā̂ tarà	nineteen
16	àshìrin	twenty
17	àshìrin dà ɗaya	twenty one
18	àshìrin dà huɗu	twenty four
19	àshìrin dà bìyar	twenty five
20	tàlā̀tin	thirty
21	àrbà'in	forty
22	hàmsin	fifty
23	sìttin	sixty
24	sàbà'in	seventy
25	tàmā̀nin	eighty
26	tàsà'in	ninety
27	ɗàri	one hundred
28	ùbā	father
29	uwā	mother
30	ɗā	son
31	'yā	daughter
32	ɗan'uwā	brother
33	'yar'uwā	sister
34	kā̀kā	grandparent
35	kâi	head
36	gāshī̀	hair
37	ƙwaƙwalwā	brains
38	fuskā̀	face
39	hancī̀	nose
40	kûnnē	ear
41	idṑ	eye
42	kumā̀tū	cheeks
43	haɓā̀	chin
44	gēmù	beard
45	bā̀kī	mouth
46	lēɓḕ	lip
47	harshḕ	tongue
48	haƙōrī	tooth
49	wuyā̀	neck
50	ƙìrjī	chest
51	mā̀mā	woman's breast
52	kā̀fadā̀	shoulder
53	hannū	arm
54	yātsā̀	finger
55	ƙafā̀	leg
56	cinyā̀	thigh
57	gwīwā̀	knee
58	jìkī	body
59	fātā̀	skin
60	nāmā̀	flesh
61	gìndī	buttocks
62	tsulìyā	anus
63	bùrā	penis
64	dūrī̀	vagina
65	gwaiwā	testicles
66	cikī̀	stomach
67	cībìyā	navel
68	hanjī	intestines
69	zūcìyā	heart
70	hantā̀	liver
71	ƙōdā̀	kidney
72	haƙàrƙarī	ribs
73	hū̀hū	lungs
74	jinī	blood
75	ƙàshī	bone
76	jījìyā	vein
77	fitsarī	urine
78	kāshī	faeces
79	gùmī	sweat
80	miyau, yau	saliva
81	muryā̀	voice
82	sūnā	name
83	mùtûm	person
84	mijī̀	man
85	màcè	woman
86	yārṑ	boy
87	yārinyā̀	girl
88	jinjìrī	baby
89	tsōhō	old man
90	tsōhuwā	old woman
91	sarkī	king
92	bāwā̀	slave
93	Allā̀	God
94	bōkā	native doctor
95	māgànī	medicine
96	bā̀ƙō	guest
97	àbōkī	friend
98	kiɗī̀	drumming
99	fàrautā̀	hunting
100	sāƙā̀	weaving
101	maƙḕrī	blacksmith
102	ƙīrā̀	smithing
103	sātā̀	stealing
104	ruwā	water
105	girgijḕ	cloud
106	kṑgī	river
107	tafkī̀	lake
108	rāɓā	dew
109	hayāƙī	smoke
110	hazō	fog
111	hùntūrū̀	harmattan
112	iskā̀	wind
113	hadarī̀	storm
114	tsāwā	thunder
115	wàlƙiyā	lightning
116	samā̀	sky
117	rānā	sun
118	watā̀	moon
119	tàurarṑ	star
120	darē	night
121	sāfē	morning
122	màràicē	evening
123	shḕkarā̀	year
124	dā̀munā	rainy season
125	rānī	dry season
126	wutā	fire
127	gawàyī	charcoal
128	tṑkā	ashes
129	itā̀cē	tree
130	itā̀cē	wood
131	ganyē	leaf
132	ɓāwō	bark
133	irī̀	seed
134	kūkā̀	baobab tree
135	maɗā̀cī	mahogany tree
136	tsāmiyā	tamarind
137	kaɗanyā̀	shea nut tree
138	ƙayā̀	thorn
139	cìyāwā̀	grass
140	dutsḕ	mountain
141	dutsḕ	stone
142	ƙasā	ground
143	yā̀shī	sand
144	ƙùrā	dust
145	tàɓō	mud
146	kurmī̀	forest
147	dājī̀	the bush
148	gàrī	town
149	gidā	compound
150	ɗākī̀	hut
151	ƙōfā̀	doorway
152	hanyā̀	road
153	gōnā	farm
154	fartanyā̀	hoe
155	gā̀tarī	axe
156	làujē	sickle
157	ƙarfḕ	iron
158	nāmàn dājī̀	wild animal
159	zākī̀	lion
160	kūrā	hyena
161	giwā	elephant
162	dā̀misā̀	leopard
163	birī̀	monkey
164	gwaggṑ	baboon
165	bàrēwā	gazelle
166	gā̀dā	duiker
167	zōmō	rabbit
168	zā̀bō	guinea fowl
169	ɓērā	rat
170	mùzūrū	wild cat
171	ƙadangarḕ	lizard
172	macī̀jī	snake
173	mēsā̀	python
174	kùnkurū	turtle
175	kwā̀ɗō	frog
176	kùrēgē	squirrel
177	jēmāgḕ	bat
178	kùnāmā̀	scorpion
179	hàwainìyā	chameleon
180	tsūtsā̀	worm
181	ƙudā	fly
182	saurō	mosquito
183	gizṑ	spider
184	kwârkwatā̀	louse
185	gàrā	termite
186	sūrì	anthill
187	fā̀rā	locust
188	sānìyā	cow
189	sā̂	bull
190	àkwiyā̀	goat
191	bùnsurū	he-goat
192	tunkìyā	sheep
193	rā̀gō	ram
194	dōkī̀	horse
195	jā̀kī	donkey
196	kā̀zā	hen
197	zàkarā̀	rooster
198	kàrē	dog
199	kyânwā	cat
200	tsuntsū	bird
201	kurciyā	dove
202	shirwā̀	kite
203	ùngùlū	vulture
204	fiffikḕ	wing
205	ƙwai	egg
206	kàhō	horn
207	wutsiyā̀	tail
208	àbinci	food
209	tuwō	mush
210	miyā̀	sauce
211	kùnū	gruel
212	nāmā̀	meat
213	kīfī	fish
214	gā̀rī	flour
215	madarā	milk
216	gishirī	salt
217	bàrkṑnō	pepper
218	wākē	beans
219	kubḕwā	okra
220	dāwā̀	guinea corn
221	màiwā	millet
222	gyàɗā	groundnuts
223	mâi	oil
224	rōgṑ	cassava
225	dōyā̀	yam
226	dànkalī̀	sweet potato
227	kàbēwā̀	melon
228	zumā̀	honey
229	sàndā	stick
230	māshī̀	spear
231	takṑbī	sword
232	tā̀barmā	mat
233	zānā	mat
234	bàkā	bow
235	kibiyā̀	arrow
236	kwàrī	quiver
237	wuƙā	knife
238	igiyā̀	rope
239	ƙwaryā	calabash
240	tukunyā	cooking pot
241	kaskō	small pot
242	ràndā	large water pot
243	tū̀lū	small water pot
244	àbù	thing
245	kāyā	load
246	yā̀rē	language
247	aikī̀	work
248	yāƙī̀	war
249	barcī	sleep
250	mafarkī	dream
251	râi	life
252	mutuwā̀	death
253	cīwṑ	sickness
254	tā̀rī	cough
255	zàzzàɓī	fever
256	gyàmbō, mīkī̀	ulcer
257	ƙurjī	pimple
258	gàjiyā̀	fatigue
259	yunwā̀	hunger
260	ƙishirwā	thirst
261	inuwā̀	shadow
262	gàskiyā	truth
263	ƙaryā	lie
264	wurī	place
265	lōkàcī	time
266	rāmī̀	hole
267	jirgī	boat
268	kā̀suwā	market
269	kuɗī	money
270	rī̀gā	man's robe
271	zanḕ	woman's bodycloth
272	farī	white
273	baƙī	black
274	jā	red
275	kōrḕ	green
276	rā̀wayā̀	yellow
277	shūɗī̀	blue
278	haskē	light
279	duhū̀	darkness
280	nauyī	heaviness
281	bàbbā	large
282	ƙàramī	small
283	dà yawā̀	many
284	dukà	all
285	taurī	hardness
286	laushī	softness
287	daidai	correct
288	zāƙī	sweetness
289	ɗācī	bitterness
290	tsāmī	sourness
291	dōgō	long
292	gàjērē	short
293	dà kyâu	good
294	mūgū̀	evil
295	sābō	new
296	tsōhō	old
297	fādī	wideness
298	dauɗā̀	dirt
299	tsabtā̀	cleanness
300	ƙibā̀	fatness
301	sī̀rīrī̀	thin
302	tsàdā	expensiveness
303	àràhā	inexpensiveness
304	kusa	near
305	nīsa	far
306	zāfī	hotness
307	sanyī	coldness
308	ƙarfī	strength
309	màkāfṑ	blind man
310	kurmā	deaf man
311	yâu	today
312	jiyà	yesterday
313	gṑbe	tomorrow
314	ìnā	where?
315	yàushè	when?
316	mḕ	what?
317	wā̀	who?
318	yā̀yā̀	how?
319	nawà	how many?
320	nân	here
321	cân	there
322	wannàn	this
323	wancàn	that
324	cikī	inside
325	wàje	outside
326	à kâi	atop
327	ƙàrƙashī	under
328	tsàkānī	between
329	dāma	right
330	hagu	left
331	arḕwa	north
332	kudù	south
333	gabàs	east
334	yâmma	west
335	àkwai àbinci	there is
336	bābù àbinci	there is not
337	yā ci	eat
338	yā shā	drink
339	yā haɗìyē	swallow
340	yā yi	do
341	yā tàfi	go
342	yā zō	come
343	yā kōmà	return
344	yā shìga	go in
345	yā fìta	go out
346	yā gudù	run
347	yā hau	mount
348	yā ganī	see
349	yā ji	hear
350	yā ji (wārī)	smell
351	yā taɓā̀	touch
352	yā ɗanɗànā	taste
353	yā bugā̀	hit
354	yā gōgḕ	rub
355	yā kashḕ	kill
356	yā jā	pull
357	yā tūrḕ	push
358	yā ɗaukā̀	lift
359	yā ajìyē	put down
360	yā kwântā	lie down
361	yā hūtā̀	rest
362	yā gàji	be tired
363	yā būɗḕ	open
364	yā rufḕ	close
365	yā binnḕ	bury
366	yā tārā̀	gather
367	yā rakà shi	accompany
368	yā ƙōnḕ	burn
369	yā dafā̀	cook
370	yā gasā̀	roast
371	yā sōyā̀	fry
372	yā tàfasā̀	boil
373	yā fàɗā	speak
374	yā tàmbayā̀	ask
375	yā amsā̀	answer
376	yā ƙi	refuse
377	yā murɗḕ	twist
378	yā sā̀rā	chop
379	yā yankā̀	cut
380	yā yāgḕ	tear
381	yā ginā̀	build
382	yā sā̂ (tufāfī̀)	dress
383	yā tūɓḕ (tufāfī̀)	undress
384	yā shiryā̀	arrange
385	yā ɓōyḕ	hide
386	yā sā̀tā	steal
387	yā tàimàkē shì	help
388	yā fāɗī̀	fall
389	yā sanī̀	know
390	yā tunā̀	remember
391	yā mântā	forget
392	yā haƙā̀	dig
393	yā kṑyā	learn
394	yā rabā̀	divide
395	yā hūdā̀	pierce
396	yā matsà (lḕmū)	squeeze
397	yā riƙḕ	hold
398	yā kṑrā	drive away
399	yā kāmā̀	seize
400	yā bā shì	give
401	yā cī̀zā	bite
402	yā hàrbā	shoot
403	yā sàyi wuƙā	buy
404	yā sayar dà shī	sell
405	yā kirā	call
406	yā zaunā̀	sit
407	yā tāshì	stand up
408	tā haifù	give birth
409	yā jirā	wait for
410	yā mutù	die
411	yā bī shì	follow
412	yā jēfā̀	throw
413	yā ƙērā̀	forge
414	yā ƙārā̀	increase
415	yā gāmā̀	finish
416	yā sōmā̀	begin
417	yā cikà shi	fill
418	yā nūnā̀	show
419	yā būshḕ	dry up
420	yā ɗinkā̀	sew
421	yā fī shì	surpass
422	yā ɗaurḕ	tie
423	yā kwancḕ	untie
424	yā ɗūrā̀	pour
425	yā shārḕ	sweep
426	yā hūrā̀	blow
427	yā jiƙā̀ shi	moisten
428	yā sāmù	obtain
429	yā saƙā̀	weave
430	tā kitsḕ	plait
431	yā fashḕ	break in pieces
432	yā karyḕ	(stick) snapped
433	yā tsinkḕ	(rope) broke
434	yā wankḕ	wash

